region	test	n_Control	n_samples_Control	median_Control	iqr_low_Control	iqr_high_Control	n_AS-DEL	n_samples_AS-DEL	median_AS-DEL	iqr_low_AS-DEL	iqr_high_AS-DEL	n_PWS-DEL	n_samples_PWS-DEL	median_PWS-DEL	iqr_low_PWS-DEL	iqr_high_PWS-DEL	n_PWS-mUPD	n_samples_PWS-mUPD	median_PWS-mUPD	iqr_low_PWS-mUPD	iqr_high_PWS-mUPD	statistic_H	p_value	eta_squared	q_value
SNRPN/PWS-IC	Kruskal-Wallis	62	2	0.2473053358045868	0.22586923626440097	0.2684382447820704	26	3	0.23175682360507904	0.20742799925612238	0.2463613203370095	49	5	0.2686992999111293	0.2563718606779113	0.2821613898187782	37	1	0.254007661187805	0.2284143755467362	0.2799735542802978	24.273286696468062	2.1904088199918776e-05	0.1251369805674592	3.2856132299878164e-05
SNORD116	Kruskal-Wallis	294	2	0.27470293920675853	0.2569550178301321	0.3012662798790362	100	3	0.2618548718001298	0.24887188231939794	0.2727573627910409	254	5	0.30074095855963046	0.2791397008597025	0.32499084558344743	136	1	0.29720968247130114	0.27960143458552905	0.32631789991511845	153.12124353792115	5.58999247053057e-33	0.19246313274092455	1.676997741159171e-32
Downstream control	Kruskal-Wallis	550	2	0.2951232558639484	0.2735342289534558	0.32056030676005126	188	3	0.2932002243788058	0.2733470093949108	0.31596432356711157	458	5	0.29537228064556914	0.27247940026034445	0.3196941039983675	342	1	0.2917149886801909	0.27241273293365936	0.3150485001350135	1.9200936651865175	0.5891560417606558	0.0	0.5891560417606558
