group	group_label	breakpoint_side	n_units	n_reference_regions	near_abs_delta_mean	far_abs_delta_mean	near_minus_far_abs_delta	ci_low	ci_high	exact_signflip_p	near_signed_delta_mean	far_signed_delta_mean	note	q_value
PWS_DEL	PWS-DEL	5prime	5	5	0.027206847244519064	0.008106505220158985	0.021532943217260948	0.0030469907400416203	0.04921102523529757	0.25	0.015665131471810236	0.0029202875987538006	Formal exact sign-flip test across samples.	0.5
PWS_DEL	PWS-DEL	3prime	5	5	0.025812329877339935	0.015818442936927947	0.009993886940411983	-0.010166875520914675	0.033327661535276894	0.625	-0.01098387490425086	-0.004150897153136398	Formal exact sign-flip test across samples.	0.8333333333333334
AS_DEL	AS-DEL	5prime	3	3	0.008340176972109706	0.008842318122027243	-0.0005021411499175355	-0.008472487411608224	0.010425174244498276	1.0	0.002467897022086061	0.005456457578880764	Formal exact sign-flip test across samples.	1.0
AS_DEL	AS-DEL	3prime	3	3	0.030875321505658342	0.011987217724927881	0.018888103780730463	0.013200148707911918	0.02868535190941481	0.25	-0.030875321505658342	-0.011987217724927881	Formal exact sign-flip test across samples.	0.5
PWS_mUPD	PWS-UPD BP-matched	5prime	1	8	0.022996036400354296	0.01950220155908443	0.0034938348412698675				-0.014353284647298375	-0.01384462352560519	Descriptive only; BP-coordinate-matched regions in one PWS-UPD sample.	
PWS_mUPD	PWS-UPD BP-matched	3prime	1	8	0.009047030621181474	0.004105438388799671	0.004941592232381803				-0.005315969914610074	-0.0022188954538507064	Descriptive only; BP-coordinate-matched regions in one PWS-UPD sample.	
