window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17664000	17665000	17664500	0.826311377245509	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17665000	17666000	17665500	0.7923983050847456	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17666000	17667000	17666500	0.705463768115942	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17667000	17668000	17667500	0.7517	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17668000	17669000	17668500	0.6439658536585366	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17669000	17670000	17669500	0.7445488958990536	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17670000	17671000	17670500	0.7143379120879121	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17671000	17672000	17671500	0.8250556660039761	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17672000	17673000	17672500	0.8965766283524903	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17673000	17674000	17673500	0.8184122222774493	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17674000	17675000	17674500	0.8164282762014106	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17675000	17676000	17675500	0.6808562499999999	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17676000	17677000	17676500	0.9092758806912594	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17677000	17678000	17677500	0.8246528239202657	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17678000	17679000	17678500	0.768921553337492	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17679000	17680000	17679500	0.8371012494106553	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17680000	17681000	17680500	0.8595457142857144	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17681000	17682000	17681500	0.6583894868718239	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17682000	17683000	17682500	0.7704177411764705	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17683000	17684000	17683500	0.5895694217501816	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17684000	17685000	17684500	0.6074592235539342	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17685000	17686000	17685500	0.5861339712918661	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17686000	17687000	17686500	0.6837933854907539	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17687000	17688000	17687500	0.7396370192307693	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17688000	17689000	17688500	0.7850018433179724	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17689000	17690000	17689500	0.8782163907700027	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17690000	17691000	17690500	0.6379440096327513	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17691000	17692000	17691500	0.8849855128602419	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17692000	17693000	17692500	0.6475967592592592	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17693000	17694000	17693500	0.9076286457753535	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17694000	17695000	17694500	0.7715703980099502	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17695000	17696000	17695500	0.7455765536723165	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17696000	17697000	17696500	0.9119264536557282	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17697000	17698000	17697500	0.7972263776738915	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17698000	17699000	17698500	0.8224275099673795	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17699000	17700000	17699500	0.8677341482047365	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17700000	17701000	17700500	0.7655041458573442	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17701000	17702000	17701500	0.9215972972972972	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17702000	17703000	17702500	0.8500645669291338	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17703000	17704000	17703500	0.8018516644908615	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17704000	17705000	17704500	0.7008616071428572	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17705000	17706000	17705500	0.9189804804804804	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17706000	17707000	17706500	0.8989884576781533	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17707000	17708000	17707500	0.8364497549019608	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17708000	17709000	17708500	0.8889845679012346	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17709000	17710000	17709500	0.7000300440081245	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17710000	17711000	17710500	0.8371678517013712	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17711000	17712000	17711500	0.8328514285714286	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17712000	17713000	17712500	0.9245138349514563	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17713000	17714000	17713500	0.8952666666666667	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17714000	17715000	17714500	0.9319974789915966	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17715000	17716000	17715500	0.7955128205128206	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17716000	17717000	17716500	0.8878350340136054	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17717000	17718000	17717500	0.928610628281731	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17718000	17719000	17718500	0.9207533936651584	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
