metric	n_samples	n_groups	exact_permutation_p	kruskal_h	epsilon_squared	q_value
DEL	11	4	0.24754689754689754	4.18484848484848	0.1692640692640686	0.3402356902356902
INS	11	4	0.41695526695526697	3.1181818181818173	0.016883116883116753	0.41695526695526697
DUP	11	4	0.07301587301587302	6.012121212121215	0.43030303030303074	0.18771043771043772
INV	11	4	0.08044733044733045	5.817278287461774	0.40246832678025346	0.18771043771043772
BND	11	4	0.012914862914862916	7.603030303030302	0.6575757575757574	0.0904040404040404
TOTAL_COUNT	11	4	0.29163059163059163	3.845454545454551	0.12077922077922157	0.3402356902356902
TOTAL_SPAN_MB	11	4	0.26681096681096683	4.012121212121215	0.14458874458874504	0.3402356902356902
