source	label	start	end	color	width_bp	width_kb	shared_core_fraction_pct
Control	Controls	22690600	22696850	#222222	6250	6.25	59.2
PWS_DEL	PWS-DEL	22690900	22694700	#CC2F5A	3800	3.8	97.36842105263158
AS_DEL	AS-DEL	22691000	22694800	#2166AC	3800	3.8	97.36842105263158
Consensus	Shared core	22691000	22694700	#C49A00	3700	3.7	100.0
