window_start	window_end	window_mid	mean_meth_haplotype1	mean_meth_haplotype2	control_maternal_mean	mean_meth_haplotype1_smoothed	mean_meth_haplotype2_smoothed	control_maternal_mean_smoothed
18000000	18001000	18000500	0.78	0.7865617977528089	0.7967314340588989	0.7696969696969698	0.6666	0.6549559612893174
18001000	18002000	18001500	0.9444166666666666	0.8666666666666667	0.8446818181818182	0.7727272727272727	0.6926749999999999	0.6577558427238255
18002000	18003000	18002500	0.95825	0.475	0.7407222222222222	0.7696969696969698	0.6666	0.6577558427238255
18003000	18004000	18003500	0.95	0.9125	0.9389411157024792	0.7666666666666667	0.6926749999999999	0.6877943797873882
18004000	18005000	18004500	0.9833	0.6538461538461539	0.9139357680250784	0.7696969696969698	0.71875	0.717832916850951
18005000	18006000	18005500	0.8652500000000001	0.7727272727272727	0.5439801885429458	0.7727272727272727	0.71875	0.7278837108669927
18006000	18007000	18006500	0.7666666666666667	0.1666666666666666	0.5198326367781156	0.7745215311004785	0.71875	0.7379345048830342
18007000	18008000	18007500	0.33325	0.5	0.6521560798548094	0.7745215311004785	0.71875	0.7393283635526282
18008000	18009000	18008500	0.8750249999999999	0.7618095238095238	0.717832916850951	0.7745215311004785	0.71875	0.7407222222222222
18009000	18010000	18009500	0.6954782608695652	0.4324324324324324	0.5084691332218506	0.7745215311004785	0.71875	0.7393283635526282
18010000	18011000	18010500	0.7419354838709677	0.1	0.4781909290912167	0.7745215311004785	0.71875	0.7379345048830342
18011000	18012000	18011500	0.6470588235294118	0.71875	0.553881479717393	0.7745215311004785	0.71875	0.7393283635526282
18012000	18013000	18012500	0.7727272727272727	0.3888888888888889	0.6577558427238255	0.7745215311004785	0.71875	0.7407222222222222
18013000	18014000	18013500	0.7555555555555555	0.6666	0.6452554347826087	0.7745215311004785	0.71875	0.7408075396825395
18014000	18015000	18014500	0.6333333333333333	NaN	0.5972696566998892	0.7745215311004785	0.71875	0.740892857142857
18015000	18016000	18015500	0.2	1.0	0.8063465753424657	0.7745215311004785	0.71875	0.7546928233082706
18016000	18017000	18016500	0.7763157894736842	0.7894736842105263	0.8813509267519081	0.7727272727272727	0.6926749999999999	0.7408075396825395
18017000	18018000	18017500	0.1666666666666666	0.6153846153846154	NaN	0.7696969696969698	0.6666	0.7393283635526282
18018000	18019000	18018500	0.7222222222222222	0.9166666666666666	0.7379345048830342	0.7666666666666667	0.6926749999999999	0.7394136810129457
18019000	18020000	18019500	0.825	0.875	0.740892857142857	0.7611111111111111	0.6666	0.7394136810129457
18020000	18021000	18020500	0.85	NaN	0.7987176056338028	0.7555555555555555	0.6926749999999999	0.7394136810129457
18021000	18022000	18021500	0.8846153846153846	NaN	0.9012331162671796	0.7487455197132616	0.6666	0.7526299363442468
18022000	18023000	18022500	NaN	NaN	0.8655513358778626	0.7419354838709677	0.6926749999999999	0.7526299363442468
18023000	18024000	18023500	NaN	NaN	0.8659906071181538	0.7487455197132616	0.71875	0.7643670155456365
18024000	18025000	18024500	NaN	NaN	0.6973169951512974	0.7419354838709677	0.6926749999999999	0.7664299025096604
18025000	18026000	18025500	NaN	NaN	0.7283300333763996	0.7487455197132616	0.71875	0.7684927894736842
18026000	18027000	18026500	NaN	NaN	0.8347654972616875	0.7555555555555555	0.7541118421052632	0.7684927894736842
18027000	18028000	18027500	NaN	NaN	0.8922603854389721	0.7641414141414141	0.7894736842105263	0.7684927894736842
18028000	18029000	18028500	NaN	NaN	0.7684927894736842	0.7555555555555555	0.8322368421052632	0.7684927894736842
18029000	18030000	18029500	NaN	NaN	0.8052925735013363	0.7492690058479532	NaN	0.7684927894736842
18030000	18031000	18030500	NaN	NaN	0.8544628932253033	0.7763157894736842	NaN	0.7836051975537435
18031000	18032000	18031500	NaN	NaN	0.735028918918919	0.8006578947368421	NaN	0.7836051975537435
18032000	18033000	18032500	NaN	NaN	0.6559526746182345	NaN	NaN	0.7684927894736842
18033000	18034000	18033500	NaN	NaN	0.8215209899749374	NaN	NaN	0.7836051975537435
18034000	18035000	18034500	NaN	NaN	0.8596781045751634	NaN	NaN	0.8015626180779456
18035000	18036000	18035500	NaN	NaN	0.8568034992920881	NaN	NaN	0.8048501020117123
18036000	18037000	18036500	NaN	NaN	0.7643670155456365	NaN	NaN	0.8048501020117123
18037000	18038000	18037500	NaN	NaN	0.7222597982094643	NaN	NaN	0.7893301310505179
18038000	18039000	18038500	NaN	NaN	NaN	NaN	NaN	0.7893301310505179
18039000	18040000	18039500	NaN	NaN	NaN	NaN	NaN	0.7893301310505179
18040000	18041000	18040500	NaN	NaN	NaN	NaN	NaN	0.8004203207374596
18041000	18042000	18041500	NaN	NaN	0.6664248251748253	NaN	NaN	0.8048501020117123
18042000	18043000	18042500	NaN	NaN	0.3030663430420712	NaN	NaN	0.8048501020117123
18043000	18044000	18043500	NaN	NaN	0.1443914553332483	NaN	NaN	0.8048501020117123
18044000	18045000	18044500	NaN	NaN	0.145665	NaN	NaN	0.8048501020117123
18045000	18046000	18045500	NaN	NaN	NaN	NaN	NaN	0.8129643102485129
18046000	18047000	18046500	NaN	NaN	0.8044076305220883	NaN	NaN	0.81048581194246
18047000	18048000	18047500	NaN	NaN	NaN	NaN	NaN	0.8190424916688845
18048000	18049000	18048500	NaN	NaN	0.8518797101449275	NaN	NaN	0.8260953103967785
18049000	18050000	18049500	NaN	NaN	0.8355795119642067	NaN	NaN	0.8312776655442129
18050000	18051000	18050500	NaN	NaN	0.8889709363393214	NaN	NaN	0.8236168120907257
