summary_context	region	group	parental_state	n_molecules	n_samples	median_cpgs_per_molecule	median_molecule_span_bp	median_missing_fraction	median_methylation	methylation_q1	methylation_q3	median_entropy	entropy_q1	entropy_q3	total_cpg_calls	n_displayed
region_level	Downstream control	AS-DEL	paternal	188	3	100.5	13956.5	0.0	0.6242626110273168	0.5746856680816657	0.6987350700029002	0.2932002243788058	0.2733470093949108	0.31596432356711157	19877	
region_level	Downstream control	Control	maternal	550	2	105.0	13370.5	0.0	0.6467302933898904	0.5823759625307612	0.7075980392156863	0.2951232558639484	0.2735342289534558	0.32056030676005126	57780	
region_level	Downstream control	PWS-DEL	maternal	458	5	101.0	12522.0	0.0	0.6458552526701737	0.5781150861904216	0.7103729352904389	0.29537228064556914	0.27247940026034445	0.3196941039983675	46447	
region_level	Downstream control	PWS-mUPD	maternal-like	342	1	105.0	13262.0	0.0	0.6560112044817927	0.5967299140572797	0.7221203847035891	0.2917149886801909	0.27241273293365936	0.3150485001350135	36403	
region_level	SNORD116	AS-DEL	paternal	100	3	167.5	14300.0	0.0	0.7012378688849277	0.6501069843530279	0.754779705647247	0.2618548718001298	0.24887188231939794	0.2727573627910409	17591	
region_level	SNORD116	Control	maternal	294	2	162.0	13576.5	0.0	0.669750041436137	0.6087297599626162	0.7352744795915285	0.27470293920675853	0.2569550178301321	0.3012662798790362	48276	
region_level	SNORD116	PWS-DEL	maternal	254	5	149.0	12850.0	0.0	0.6296558245324848	0.579263579169826	0.6750151526738097	0.30074095855963046	0.2791397008597025	0.32499084558344743	38838	
region_level	SNORD116	PWS-mUPD	maternal-like	136	1	158.5	13590.5	0.0	0.6276940863995	0.5833708586883029	0.6915428194582918	0.29720968247130114	0.27960143458552905	0.32631789991511845	21308	
region_level	SNRPN/PWS-IC	AS-DEL	paternal	26	3	115.0	15551.5	0.0	0.2647399829497016	0.16664961636828637	0.29177323103154307	0.23175682360507904	0.20742799925612238	0.2463613203370095	2990	
region_level	SNRPN/PWS-IC	Control	maternal	62	2	115.0	13937.5	0.0	0.5832736572890025	0.24665814151747653	0.755311167945439	0.2473053358045868	0.22586923626440097	0.2684382447820704	7126	
region_level	SNRPN/PWS-IC	PWS-DEL	maternal	49	5	115.0	12572.0	0.0	0.7506564364876385	0.6843989769820972	0.8037510656436487	0.2686992999111293	0.2563718606779113	0.2821613898187782	5633	
region_level	SNRPN/PWS-IC	PWS-mUPD	maternal-like	37	1	115.0	14947.0	0.0	0.7557033248081841	0.6778516624040921	0.7992838874680306	0.254007661187805	0.2284143755467362	0.2799735542802978	4254	
control_display_window	SNORD116 display	Paternal-like control molecules	paternal-like	75	2	99.0	11078.0	0.5153846153846153	0.6722320065750852	0.5941584967320261	0.7369196710942442	0.8414646362081757	0.6933700278791914	0.9556350572537069	7894	18.0
control_display_window	SNORD116 display	Maternal-like control molecules	maternal-like	102	2	87.0	11481.0	0.5117303061575507	0.6505385706914345	0.5923379522982599	0.7163580317474832	0.8832947871119573	0.7720008684276742	0.9502638980691662	10279	18.0
